name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Threave,BSC_Threave,Battlecruiser,Low Tech,burndrive,24,16500,1600,16000,15000,580,280,,55,18,15,6,4,2800,FRONT,,160,0.4,1,,,500,800,280,300,12,28,8,290000,3,12,720,0.25,35,35,,,,,,,,"rare_bp, merc",,0.5,2,4,,
Chrysaor,BSC_Chrysaor,EMP Destroyer,High Tech,BSC_heavyemp,10,2800,250,5800,5950,370,85,,110,100,80,35,80,240,OMNI,,120,0.3,0.6,,,25,45,45,55,2,25,10,40000,5,15,300,0.25,10,10,,,,,,,,"rare_bp, hist1t, merc",,0.7,2,3,,
Nadir,BSC_Nadir,Surveyor Hubship,High Tech,BSC_drone_pd,22,16000,1000,21000,21000,1000,280,,30,12,12,4,3,3200,FRONT,,360,0.6,0.7,,,500,1500,1000,1200,8,100,8,350000,4,15,600,0.25,36,36,,,,,,,,"rare_bp, merc, independent",0.8,0.5,2,4,,
Tungustan,BSC_Tungustan,Artillery Cruiser,Midline,highenergyfocus,14,7000,850,8500,9000,500,70,,55,45,35,17,22,1400,FRONT,,240,0.4,0.8,,,150,250,70,100,3,33,8,145000,3,12,480,0.25,19,19,,,,,,,,"rare_bp, merc",,0.6,2,3,,
Bogle,BSC_Bogle,Light Gunship,High Tech,flarelauncher_active,3,1400,150,1900,1600,140,40,,150,130,85,60,100,125,OMNI,,140,0.4,0.7,,,8,16,20,12,0.75,20,10,6500,5,10,180,0.25,3,3,,,,,,,,"hightech_bp, hist1t, merc",,0.7,2,3,,
Boggart,BSC_Boggart,Light Drone Gunship,Remnant,highenergyfocus,3,1400,150,2000,1700,170,40,,150,130,85,60,100,125,OMNI,,140,0.4,0.6,,,0,0,20,12,0.75,20,10,11000,5,10,180,0.25,3,3,,,,,,,UNBOARDABLE,"remnant, auto_rec, codex_unlockable",,0.7,2,3,,
Baldric MK.II,BSC_Baldric_MK2,Cruiser,Low Tech,flarelauncher,9,4500,400,3900,3900,190,110,,55,40,30,20,25,1100,NONE,,0,0,0,,,60,70,80,50,2,25,8,46000,3,20,480,0.25,8,8,,,,,,,ALWAYS_PANIC,"base_bp, ind",,0.7,2,4,,
Carnal,BSC_Carnal,Heavy Frigate,Low Tech,burndrive,7,3500,500,2200,1800,150,55,,120,100,80,45,75,290,FRONT,,140,0.4,1,,,25,45,45,30,1,25,10,26000,8,10,260,0.25,5,5,,,,,,,,"rare_bp, merc",,0.5,2,3,,
Maraka (LP),BSC_Maraka_LP,Cruiser,Luddic Path,burndrive,16,10000,1200,9500,9000,470,115,,55,30,15,13,16,1950,FRONT,,150,0.4,1,,,160,240,120,130,4,30,9,145000,4,12,540,0.25,24,24,,,,,,,,"rare_bp, luddic_path",,0.4,2,3,,
PD Drone,BSC_Drone_PD,,,,,40,20,160,,60,,,180,200,200,180,200,4,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Constable,BSC_Constable,Superheavy Destroyer,Low Tech,burndrive,12,7500,900,5600,5300,300,110,,60,30,15,25,20,700,PHASE,damper,,,,,,90,160,140,90,3,30,9,75000,5,12,420,0.25,12,12,,,,,,,,"rare_bp, merc, ind, special_allows_system_use, system_allows_special_use",0.75,0.4,2,4,,
Preybird (LP),BSC_Preybird_LP,Cruiser,Luddic Path,maneuveringjets,14,6000,600,7000,7000,350,125,,80,50,30,20,25,625,FRONT,,270,0.4,0.8,,,200,280,60,70,3,33,9,110000,4,12,460,0.25,16,16,,,,,,,,"rare_bp, luddic_path",0.5,0.5,2,3,,
Cumulus,BSC_Cumulus,Recon Destroyer,High Tech,flarelauncher_active,9,3000,240,5500,5500,380,100,,100,70,50,30,60,290,FRONT,,360,0.6,0.7,,,28,70,60,65,2,55,9,45000,5,15,300,0.25,9,9,,,,,,,,"rare_bp, merc, ind",,0.6,2,3,,
Covetor,BSC_Covetor,Frigate,Low Tech,highenergyfocus,4,2400,380,1900,1900,145,35,,120,85,50,80,70,300,OMNI,,120,0.4,1,,,25,40,70,25,1,35,9,9800,5,15,300,0.25,4,4,,,,,,,,"base_bp, merc, ind",,0.4,2,2,,
Roamer (LP),BSC_Roamer_LP,Light Cruiser,Luddic Path,fastmissileracks,10,6500,1100,4800,4800,200,110,,50,20,15,15,9,1250,OMNI,,140,0.4,1,,,80,250,350,120,3,45,8,52500,5,10,540,0.25,12,12,,,,,,,,LP_bp,,0.4,2,3,,
Lockout (LP),BSC_Lockout_LP,Destroyer,Luddic Path,burndrive,9,4500,550,3500,3000,150,100,,90,45,20,40,25,500,OMNI,,150,0.4,1,,,40,70,80,80,2,30,9,45000,5,12,400,0.25,8,8,,,,,,,,LP_bp,,0.4,2,2,,
Brigand,BSC_Brigand,Battlecruiser,Pirate,burndrive,20,10000,780,13000,15000,480,280,,50,40,35,8,8,2400,OMNI,,80,0.2,1.2,,,280,380,180,300,10,30,8,185000,3,12,600,0.25,30,30,,,,,,,,"rare_bp, pirates",,0.4,2,3,,
Accipiter,BSC_Accipiter,Combat Carrier,Midline,reservewing,10,4000,400,4000,4000,250,100,1,90,50,30,40,60,450,FRONT,,270,0.4,0.8,,,90,180,80,60,2,30,9,58000,5,12,360,0.25,11,11,,,,,,,,"rare_bp, merc, ind, persean",,0.5,2,3,,
Constable (P),BSC_Constable_P,Superheavy Destroyer,Pirate,orion_device,12,7500,900,5600,5300,300,110,,50,25,15,25,20,700,PHASE,damper,,,,,,90,160,140,90,3,30,9,75000,5,12,420,0.25,12,12,,,,,,,,"rare_bp, pirates",0.5,0.4,2,4,,
Haven,BSC_Haven,Drone Tender,Low Tech,maneuveringjets,8,3500,400,3000,3000,180,70,3,60,40,20,20,20,500,OMNI,,90,0.5,1.2,,,40,100,200,80,2,35,9,38000,5,10,360,0.25,8,8,,,,,,,CARRIER,"base_bp, ind",,0.3,2,3,,
Sturgeon,BSC_Sturgeon,,Low Tech,flarelauncher,,900,200,400,,100,0,,150,200,200,40,120,60,NONE,,0,0,0,,,4,4,,,,,,,,,,,,,,,,,,,,,,0,,,,
Buzzard,BSC_Buzzard,Cruiser,Midline,maneuveringjets,13,7000,850,9500,9000,550,145,,70,60,40,20,25,900,FRONT,,180,0.4,0.8,,,120,200,120,100,3,33,9,90000,4,12,480,0.25,18,18,,,,,,,,"rare_bp, merc, ind",,0.5,2,3,,
Hedgehog,BSC_Hedgehog,Converted Liner,Low Tech,maneuveringjets,3,1400,200,1500,1500,100,35,,110,80,50,45,60,200,FRONT,,90,0.5,1.2,,,10,15,10,10,1,30,9,6000,5,20,180,0.25,2,2,,,,,,,,"base_bp, ind",,0.5,2,2,,
Commandant,BSC_Commandant,Command Cruiser,Low Tech,BSC_Recharging_Flarelauncher,16,12000,1200,9000,8000,450,180,1,60,40,30,20,20,2100,OMNI,,150,0.4,1,,,160,250,150,150,4,37,9,120000,4,12,540,0.25,16,16,,,,,,,,"rare_bp, merc",,0.3,2,3,,
Ruswall,BSC_Ruswall,Missile Cruiser,Low Tech,fastmissileracks,12,8000,1000,8000,8000,350,120,,60,60,30,20,25,1200,FRONT,,120,0.4,1,,,100,150,100,90,3,35,9,85000,4,12,480,0.25,17,17,,,,,,,,"rare_bp, ind",,0.3,2,3,,
Stobo,BSC_Stobo,,Midline,flarelauncher_fighter,,800,100,100,,10,0,,200,380,340,85,180,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Modified Pod,BSC_Blasterdrone,,Pirate,,,500,100,1200,,0,0,,125,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Roamer (P),BSC_Roamer_P,Light Cruiser,Pirate,burndrive,9,7500,950,5250,5250,200,110,,50,20,15,15,9,1250,OMNI,,140,0.4,1,,,60,250,450,140,3,45,8,52500,5,10,540,0.25,10,10,,,,,,,,pirate_bp,,0.4,2,3,,
Grifter,BSC_Grifter_Drone,Drone,Low Tech,,,150,50,100,,50,,,300,300,300,100,200,10,FRONT,,90,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Ardea,BSC_Ardea,Carrier,Midline,targetingfeed,28,12000,1200,18000,20000,800,320,5,35,30,20,6,4,2800,OMNI,,140,0.5,0.8,,,400,500,300,300,10,30,8,350000,3,15,600,0.25,40,40,,,,,,,,"rare_bp, merc",,0.5,2,4,,
Strix,BSC_Strix,Heavy Frigate,Midline,highenergyfocus,8,2200,350,3000,1700,170,55,,140,140,120,80,200,300,OMNI,,180,0.5,0.8,,,25,45,55,30,1,25,10,34000,8,10,240,0.25,7,7,,,,,,,,"rare_bp, hist2t, merc, ind",,0.4,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
