id,type,text1,text2,text3,notes
BSC_Cassina,SHIP,"作为一款专门设计的分舰队旗舰，卡西纳-级 旨在缓解人之领巡逻队疲于奔命的现状，将强大的正面火力、良好的机动性，以及巡洋舰级别的船体防护集于一身。

尽管如此，作为一艘驱逐舰，这些优势需要以极其高昂的造价换取。尽管 卡西纳-级 的设计意图是作为 猎鹰-级 的经济型替代品，但人之领舰队往往出于对幅能优势的青睐，选择体积更大的巡洋舰。",,,
BSC_Shalloch,SHIP,诞生于造船业扩张时代的末期，这艘罕见的高端驱逐舰将人之领晚期的护盾技术，与核心纪元设计中对装甲和速度的重视相结合，最终打造出一艘能在承受大量来袭火力的同时，利用其强大的能量和导弹武器系统发起反击的高机动驱逐舰。此外，该舰还配备了强能注入系统，能够提升除了光束武器外大部分能量武器的射速。,,,
BSC_Double_Mining_Laser,WEAPON,一种双联装钻探激光炮，拥有两倍于普通钻探激光炮的采矿能力。在当前混乱的星域中，它除了被用于采矿之外，还经常被当作一种简陋的点防御系统。,,,
BSC_Carnyx,SHIP,"军号-级 几乎是一块纯粹的飞行甲板，它旨在以相较于同级别航母更低的成本，来提供庞大的打击力量。这样做的代价则是该舰在防御方面表现平平，薄弱的装甲和武器配置使其只能在后方扮演支援角色。

军号-级 配备有一组内置的黄蜂无人机用于自保。有关该舰相似于传闻中 [数据删除] 的指控纯属虚构。",,,
BSC_Gallivanter,SHIP,"游荡者-级 是一艘专用的侦察与电子战支援护卫舰，旨在为以勘探为主的任务提供支持。它将强大的传感器和 ECM 系统整合进了一个相对先进且防护良好的舰体之中。

这样一艘装备精良，几乎算得上顶级水平的支援舰，其主要短板是不菲的生产和维护成本。即便如此，它还是受到了较富有的独立探险家和佣兵的青睐。",,,
BSC_Talon_Solo_wing,SHIP,适于紧凑型机库的单架利爪截击机。,,,
BSC_Bitzer_P,SHIP,闪击者-级 的海盗改装版本，移除了机库和无人机，而集成了一门 蜂群 SRM 发射器 以取代之。很难说这种改装到底有没有提升该舰的实用性，除此之外，它的性能与标准型号并无不同。,,,
BSC_Threave,SHIP,"特利维-级 战列巡洋舰设计于人之领军事理论强调装甲、火力而非机动性的时代，因此甚至在提出概念的阶段就立即遭到了反对。与 攻势-级 相比，特利维-级 牺牲了重型装甲以换取机动性的一定提升，并保留了主力舰级别的火力。

特利维-级 并未被人之领海军广泛采用，已被建造的该型舰船多被用于开展反海盗行动，其后续建造计划也因 征服者-级 的出现而中断。大崩塌发生后，拥有蓝图的 霸主 出于对高速主力舰的需求，重新启用了 特利维-级。",,,
BSC_Chrysaor,SHIP,克律萨俄耳-级 驱逐舰是尝试将 预兆-级 护卫舰上的 EMP 发生器整合到更大、更坚固、作战能力更强的战舰中的产物，尽管在驱逐舰中属于较轻量化的类型，但拥有良好的武器系统、幅能网络及优秀的机动性。位于船体中部的 EMP 发生器 使该舰既可以作为高级护航舰船使用，也能使用 EMP 发生器 参与近距离交战，以瘫痪敌方舰艇。,,,
BSC_Nadir,SHIP,"形似空间站而非移动舰船的大型主力舰，是扩张时代晚期的深空勘探舰船中的杰出代表。

与 至高点-级 —— 在设计方面有许多共同点—— 一样，至深点-级 也是一艘能够参与战斗的舰船，配有良好的武器和护盾，以及卓越的传感器与勘探设备。其圆润的船体内部可以储存大量的补给和燃料，以支持深入未知空间的探险任务。",,,
BSC_Tungustan,SHIP,"通古斯坦-级 的设计旨在为人之领巡洋舰编队提供远程反舰支援，其唯一任务便是通过庞大的能量阵列，来发射远程、精准且威力强大的冲击光束。由于冲击光束阵列的能量需求巨大，且发射时会产生干扰，因此 通古斯坦-级 巡洋舰仅配备了最低限度的防御武器。

虽然拥有性能尚可的护盾，但 通古斯坦-级 的航速相当缓慢，因此在面对敌方战机时十分脆弱；一旦遭遇足以避开冲击光束并迅速抵近的高速敌舰，该舰也将极易遭受攻击。",,,
BSC_Impulsebeam,WEAPON,冲击光束阵列 是一种极远程、高威力的光束武器，专门安装在特定的火炮巡洋舰上。该武器旨在提供远距离的持续反舰支援。它不仅能够对目标造成可观的伤害，还能施加一定的引力力场，推动无法直接摧毁的目标，从而使其远离交战范围。,,,
BSC_heavyemp,SHIP_SYSTEM,一种安装在驱逐舰上的更大、更强的 EMP 发生器。与标准版本相比能产生威力更大的电弧，但代价是冷却时间增加。,进攻,,
BSC_Bogle,SHIP,"速子科技 设计的一种廉价的消耗型护航舰艇，用于为其他更加重要的舰船提供掩护。但实际上，妖怪-级 既敏捷，又拥有强大的作战能力，能够同时胜任支援和常规作战的定位。

该舰的船体尺寸显著较小，令人怀疑其一开始是为了由 AI 核心驾驶而设计的，尽管这一猜测从未得到过官方证实。",,,
BSC_Boggart,SHIP,"由 速子科技 公司开发出的 AI 舰队的遗留物。其遭到 人之领 (和 霸主) 官方的明令禁止，且被银河救赎教会深恶痛绝，第一次 AI 战争见证了无人战舰被从星域中清除的全过程。至少正史是这么记述的。

博格特-级 是 妖怪-级 炮艇的 AI 控制版本。由于不需要有机乘员，生命支持和其他冗余子系统可被小幅升级的幅能核心与能量聚焦系统所替代，这使得 博格特-级 相较其载人版本，在续航能力和火力上都有所提升。",,,
BSC_Preybird,SHIP,"鸷鸟-级 的设计旨在与 猎鹰-级 与 雄鹰-级 一同维持阵线，拥有不错的机动性和火力配置，并能够部署两个战机中队。

这款舰船十分少见，主要由 英仙座联盟 使用，偶尔也会被 非势力团体 的雇佣兵使用。",,,
BSC_Baldric_MK2,SHIP,受 水牛 MK.II-级 启发而生的 肩带 MK.II-级 是基于经过大幅修改的 肩带-级 而衍生出的设计，相比其原舰体已显得面目全非。舰体两侧新增了装甲板，货舱和集装箱架被拆除，取而代之的是焊接上的导弹发射架；原先低效的护盾发生器被拆除，减轻了对幅能网络的压力。与 水牛 MK.II-级 一样，该船作为支援舰船表现出色，但在直面真正的战斗舰船时会迅速败下阵来。,,,
BSC_Hammerhead_MK2,SHIP,"该舰是海盗工程师们受到对 猎鹰-级、巨像-级 和 弹涂鱼-级 等舰船进行改造的启发，进而对普通的 锤头-级 进行重度改装的结果。

通过破解蓝图和进行传统人力改装，锤头 MK.II-级 被融入了多种 ""升级""。回收或采购得来的引擎组件被用来提升其航速，前方的导弹发射架被拆除，并焊接上了一个更大的发射架。这些改动理论上能使舰船变得更快、更致命，但其代价是更高的后勤需求，以及船体结构完整性的降低。",,,
BSC_Carnal,SHIP,"肉欲-级 是一种较老的重型护卫舰设计。它坚固且装备精良，由于其装甲和厚重的船体镀层，在战斗中往往比其他护卫舰更持久。

在大崩塌前，该舰曾在人之领的某些小型打击群中服役，大崩塌后则在 霸主 和 非势力团体 中被继续使用。",,,
BSC_Maraka_LP,SHIP,卢德左径 对 玛拉卡-级 巡洋舰进行了改装，使其成为了一种更为有效的圣战武器。船头安装了一台大锤鱼雷发射舱，舰体前部的小型导弹发射器被创造性地重构以容纳更大的发射装置，此外以拆除了后部的两个点防御炮塔为代价，加装了额外的引擎来提高基础航速。所有这些改装都一定地损害了船体和装甲的完整性，使得该舰更难被使用和维护，但却更好地满足了 卢德左径 的需求。,,,
BSC_Drone_PD,SHIP,一种小而脆弱的无人机，除一门远程点防御激光外，几乎没有任何其他装备。,,,
BSC_Drone_PD,SHIP_SYSTEM,一个小型无人机舱，用于发射小型点防御无人机。它们将有助于保护舰船免受战机和导弹的威胁，但补充速度较慢。,防御,发射大量环绕舰船的点防御无人机。损失的无人机将随时间补充。,
BSC_Constable,SHIP,"治安官-级 是一种古老的超重型驱逐舰设计，与 先锋-级 护卫舰来自同一时期，早在 攻势-级 的初期型号问世之时，该舰便已作为重型近战舰船和分舰队领舰服役。

与 先锋-级 一样，该舰在大崩塌前已从人之领海军的一线中除役，并在大崩塌之后重新活跃，尤其是在 卢德教会 中备受欢迎  —— 仅凭简单而易于维护的构造，它便能以强大的蛮力碾碎敌人。

由于缺乏现代护盾，尽管 治安官-级 拥有厚重的结构和坚固的装甲，它仍然易受现代远程能量武器的打击。",,,
BSC_Preybird_LP,SHIP,"由 卢德左径 改装的 鸷鸟-级 战斗航母。为了更好地适应激进的战术理念，该舰原本的机库已被彻底拆除，取而代之的则是一系列重型武器槽位，这令 鸷鸟-级 变成了一艘迅猛的巡洋级炮舰。

尽管新增的武器组破坏了舰船的装甲布局和原有的填弹系统，但作为交换，该舰获得了额外的引擎，其速度和机动性获得了大幅提升。原始的 鸷鸟-级 本就相当罕见，经过 卢德左径 改装的版本则更是寥寥无几，这让星域内许多指挥官为此感到庆幸。",,,
BSC_Cumulus,SHIP,积云-级 是一种专注于侦察、探索及为民用舰队提供轻型支援的轻型驱逐舰。它借鉴了体型更大的 至高点-级 的许多设计要素，但将其浓缩到了更为廉价且易于维护的小型船体内。在战斗中，积云-级 可能缺乏武器槽位，但它拥有充足的装配空间以容纳各种船体改装。,,,
BSC_Covetor,SHIP,贪婪-级 原本是一艘专业采矿舰船，但随着星域局势的不断恶化，这种坚固耐用的舰船被改造成了一种通用的战斗和支援护卫舰。曾被作为采矿舰船的痕迹主要体现在 (至少在这类基础级别的舰船中) 十分罕见的能量武器和高能聚焦系统上 —— 它们原本的设计目的是切割小行星，而现在的则是切割海盗船。,,,
BSC_Roamer_LP,SHIP,"落入 卢德左径 手中的 漫步者-级 巡洋舰，有时会被 ""升级"" 为这种更加全副武装的 卢德左径 袭击舰。船体被强行焊上了新的武器接口，弱点部位覆盖了额外的装甲，引擎也用回收的零件进行了升级，代价是破坏了舰船的幅能网络和结构完整性。

改造后的 漫步者-级 相比原型拥有更强大的武装，堪称一把圣战利器。",,,
BSC_Lockout_LP,SHIP,"落入 卢德左径 手中的 封锁-级 驱逐舰，有时会被 ""升级"" 为这种武装和引擎大幅强化的变体型号。这一版本的 封锁-级 牺牲了船体的结构完整性、装甲和许多原装的武器系统，以换取航行速度和超规格的前向槽位，能够向毫无防备的受害者发动猛烈的轰击。",,,
BSC_Brigand,SHIP,贸易商和巡逻队指挥官们最担忧的噩梦成为了现实 —— 强盗-级 作为一种出自海盗之手的战列巡洋舰，专为突袭武装商队和小型巡逻队而设计。虽然从技术上讲，这是艘攒起来的破烂 (由各种回收和粗制滥造的部件拼凑而成)，但它仍是隐蔽在文明世界边缘的海盗造船厂中，按照相当高的规格建造的一种标准化舰船型号。该舰快速且武装精良，但相对脆弱的船体框架与性能孱弱的护盾发生器，使其在防御方面略显不足。,,,
BSC_Accipiter,SHIP,苍鹰-级 驱逐舰是一种轻型战斗航母，拥有足以直接投身前线战斗的武备和防御能力。然而，这种良好的作战性能是以牺牲战机搭载能力为代价的：苍鹰-级 至多只能将一支战机联队投入战斗，尽管它可以临时出动后备战机来暂时增强打击能力。,,,
BSC_Sword,SHIP,"作为一种高端重型护卫舰，长剑-级 以其出色的防御性能、庞大的幅能容量和高能聚焦系统而闻名，其火力投射能力足以对敌方护卫舰构成极大的威慑，甚至是对驱逐级别的舰船形成威胁。然而，对于一艘护卫舰来说，如此卓越的性能也伴随着高昂的成本，且该舰十分缺乏对后方的点防御能力。

这种护卫舰主要在 英仙座联盟 的舰队中服役，偶尔也会在 非势力团体 中被使用。",,,
BSC_Constable_P,SHIP,"一艘被海盗的 ""工程师"" 们加装了猎户座驱动装置的 治安官-级 超重型驱逐舰。为了安装这一系统，该舰的中央引擎组遭到拆除，导致其基础航速和加速度有所降低，同时舰尾的两座小型点防御炮塔也不得不被放弃。但在海盗们看来，猎户座驱动所产生的爆炸性推力绝对足以弥补这些损失。",,,
BSC_Energyaaf,SHIP_SYSTEM,激活一种先进的注能装置，迅速将额外的能量注入舰船的能量武器中。该系统再次使用前必须等待冷却完毕。,进攻,降低非光束能量武器所产生的幅能，并提高非光束能量武器的射速。,
BSC_Haven,SHIP,"牧羊人-级 在商业上的成功，促使 Ko 联合实业 设计了体型更大的 r660 型 避风港-级 无人机补给舰。作为 牧羊人-级 的全面升级版，避风港-级 体型更大，能够携带更多的无人机和货物，同时仍保留了小一号的 牧羊人-级 的许多特点。

不幸的是，由于更大的船体所带来的高运营成本，避风港-级 的销售远没有 牧羊人-级 那般成功，但考虑到其仍被普遍使用，Ko 联合实业 专门为其生产了 HK 型武器系统升级套件。这些舰船在大崩塌后常被各种独立势力所使用，偶尔也会出现在 霸主 的舰队当中。",,,
BSC_Sturgeon,SHIP,一种古老的重型轰炸机，携带一发装有笨重装甲的炸弹，能够对目标舰船造成巨大破坏 —— 前提是它真能成功命中。虽然这种轰炸机航速迟缓，但拥有厚重的装甲，同时还配备了热诱弹和机枪作为点防御手段。为了最大化击中目标的概率，鲟鱼-级 需抵近目标才能投弹。这种轰炸机几乎只会由 卢德教会 部署，但偶尔也会被雇佣兵公司所使用。,,,
BSC_Heavy_Bomb,WEAPON,一种大型装甲炸弹，携带有威力巨大的弹头，只需一击便足以重创甚至彻底摧毁敌方舰船。,,,
BSC_Buzzard,SHIP,食腐鸟-级 在海军分类中是一个谜一般的存在。它既不完全是标准的轻型巡洋舰，同时也算不上正统的线列巡洋舰。然而，即便将强大的火力压缩进了机动优秀的船体中，但在与 雄鹰-级 这样的正规巡洋舰相比时，食腐鸟-级 在防御能力上还是略显欠缺。,,,
BSC_Hedgehog,SHIP,"在如今动荡的星域中，各类民用舰船被改装成战舰的情况屡见不鲜，结果也各不相同。作为最常见的舰船之一，弹涂鱼-级 游轮自然也有各种改装型号，刺猬-级 就是其中之一。该舰将 弹涂鱼-级 上几乎每一寸的货舱和载人空间尽数拆除，换来了均匀分布的武器阵列、""适量"" 的装甲防护和一台小型护盾发生器，终于换来了一艘勉强能称作护卫舰的舰船。刺猬-级 既廉价又容易获取，因此即使它的战斗性能并不达标，也仍在被各种不同的势力使用。",,,
BSC_Overseer,SHIP,"督工-级 是 人之领 要求建造的一款指挥巡洋舰，用于在无需部署主力舰的情况下，充当小型舰队的旗舰。基于这一要求，督工-级 拥有比寻常舰船更大的舰桥，并配备了扮演这一定位所需的指挥与控制设施。作为指挥舰，督工-级 无论在进攻端还是防御端都具有相当精良的武备，使其既能直接投入前线战斗，也能为其他友军提供支援。

作为一种相对罕见的舰船，只有 霸主 或较为富裕的雇佣兵团才会偶尔使用该类战舰。",,,
BSC_Recharging_Flarelauncher,SHIP_SYSTEM,一套标准的热诱弹发射系统，配备小型自动锻炉以持续发射。,,,
BSC_Ruswall,SHIP,"罗斯瓦尔-级 导弹巡洋舰是一种古老的舰型，因更优秀的 狮鹫-级 的存在，而在 人之领 舰队中黯然失色。这种巡洋舰的航速较快，最初被拟为 根除者-级 的辅助攻击舰，但由于其相对脆弱的舰体与当时 人之领 盛行的海军学说相冲突，因而一直不受重视。

在大崩塌后，罗斯瓦尔-级 的蓝图落入卢德教会手中，并终于获得了与 根除者-级 并肩作战的机会，有时也能在独立舰队中发现它的身影。它拥有大量的导弹储存空间，但缺点是装配灵活性相对受限。",,,
BSC_Stobo,SHIP,斯托博-级 重型战斗机坚固耐用、武装精良、性能可靠，其设计者希望将其作为早期 阔剑-级 战斗机的竞争对手和替代品。为此，斯托博-级 拥有许多与阔剑相似的设计，而两者的区别除了 斯托博-级 灵活性略低但更加坚固外，最重要的则是 斯托博-级 的三角机翼下能够挂载蜂群导弹。由于经济和后勤成本等原因，斯托博未能成功取代阔剑，但在大崩塌后，这种战机仍被各方势力采用。,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
